35.txt:Cataclysm Dark Days Ahead //www.wiki.cataclysmdda.com/index.php NPCs Kickstarter craft CataclysmDDA Chess 
1.txt:sheep Sheep lamb ewe wool ram flock sheep Ekarius Simmons 
24.txt:Armagetron opponent Rubber rubber Advanced trail Played brake server mode 
32.txt:Wars Bos unit manufacture magma IP engineer Stratagus LinuxLinks harvester 
26.txt:Wesnoth faction Battle campaign Aubry-Carlson Aleksi Westlund Wiki unit Kaufman 
33.txt:Bingo bingo club ticket Gala session Mecca caller win board 
5.txt:zebu Zebu taurus Bos cattle indicus aurochs primigenius Bovidae Madagascar 
37.txt:Doom port Boom Heretic Skulltag ZDoom PrBoom Zandronum derivatives ZDaemon 
25.txt:AstroMenace Viewizard Format Chess Linux 'em oldid=643458079 menu Kurinnoy title=AstroMenace 
16.txt:goose Anser anser goose greylag cygnoides Geese egg posture cygnoides 
12.txt:horse Horse Horses Equus Ensminger Equine pony pp p. Giffin 
8.txt:guinea pig Guinea Richardson Morales Wagner Cavia p. pp Terril 
27.txt:Apogee Miller Trivia Trek Software Jumpman MS-DOS s Supernova Titanic 
2.txt:pig piglet teat sow Pigs boar Pig suckle scrofa pork 
14.txt:silkworm silk cocoon Bombyx Li Silkworm moth larva Y mori 
22.txt:Crowther Adventure Cave Colossal PDP-10 Woods FORTRAN Platt maze adventure 
30.txt:Blob Galdov Bob Solid Metal Wars Conquer Blobs Biomech Parallel 
15.txt:pigeon Pigeon Columba Pigeons bird fancier Wiltschko falcon homing rock 
36.txt:Rage Chaotic Android Contributors compile tweak Therlor zombie oldid=663513519 particle 
18.txt:camel Bactrian Gobi ferus Camel bactrianus Camels Camelus hump EDGE 
11.txt:buffalo Buffalo swamp water Water river Thailand festival Borghese Carabao 
0.txt:dog Dogs Dog wolf Canis puppy familiaris lupus pet human 
34.txt:BZFlag tank flag server rogue Schoeneman Riker team SourceForge.net mode 
3.txt:goat Goat Goats milk doe buck kid Milk Boer sheep 
13.txt:camel dromedary dromedarius Dromedaries Camelus Camel % Camels hump Dromedary 
28.txt:O-U U-X H-X Biniax pair Biniax-2 > player block Tuzsuzov 
10.txt:duck Ducks Anas duck duckling platyrhynchos Cairina Muscovy frog preen 
7.txt:chicken hen egg Chickens Chicken rooster chick cock fowl incubation 
23.txt:Angband game\ \ check Commons-logo.svg Wikiquote-logo.svg delay redirect Wikivoyage-Logo-v3-icon.svg Wikivoyage 
6.txt:cat Cat Cats Felis catus PMID wildcat silvestris kitten O'Brien 
9.txt:donkey Donkey Donkeys as Equus horse ass mule portray Svendsen 
4.txt:cattle cow Cattle bull CAFOs beef methane Bos dairy Cow 
19.txt:A.D. game\ \ check Commons-logo.svg Wikiquote-logo.svg delay redirect Wikivoyage-Logo-v3-icon.svg Wikivoyage 
38.txt:Chromium B.S.U cargo enemy shooter ship player aircraft ammunition playback 
21.txt:Isle Battle Byte Andosia Incubation Blue Chromos unit Crimson Fields 
17.txt:yak Yak Bos grunniens mutus Yaks Tibet Tibetan grunniens cattle 
39.txt:Isle Battle Byte Andosia Incubation Blue Crimson Chromos Fields unit 
20.txt:game\ \ check Commons-logo.svg Wikiquote-logo.svg delay redirect Wikivoyage-Logo-v3-icon.svg Wikivoyage please 
31.txt:Blob Galdov Bob Solid Metal Wars Blobs Conquer Biomech Parallel 
29.txt:Exile Blades party Exiles Avernum Empire trilogy III series scenario 
